topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,numld,N,Na,M,kvcache,D,loss
1,8,3528,3528,1408,3904,11,16,0.0001726,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.648927
1,8,3528,3528,1408,3904,11,16,0.0001726,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.540422
1,8,3528,3528,1408,3904,11,16,0.0001726,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.644165
1,8,3528,3528,1408,3904,11,16,0.0001726,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.703073
1,8,3528,3528,1408,3904,11,16,0.0001726,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.851241
1,8,3528,3528,1408,3904,11,16,0.0002441,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.636467
1,8,3528,3528,1408,3904,11,16,0.0002441,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.52183
1,8,3528,3528,1408,3904,11,16,0.0002441,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.613127
1,8,3528,3528,1408,3904,11,16,0.0002441,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.655468
1,8,3528,3528,1408,3904,11,16,0.0002441,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.77343
1,8,3528,3528,1408,3904,11,16,0.0003453,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.638025
1,8,3528,3528,1408,3904,11,16,0.0003453,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.510608
1,8,3528,3528,1408,3904,11,16,0.0003453,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.591859
1,8,3528,3528,1408,3904,11,16,0.0003453,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.623945
1,8,3528,3528,1408,3904,11,16,0.0003453,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.721042
1,8,3528,3528,1408,3904,11,16,0.0004883,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.649556
1,8,3528,3528,1408,3904,11,16,0.0004883,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.521921
1,8,3528,3528,1408,3904,11,16,0.0004883,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.584626
1,8,3528,3528,1408,3904,11,16,0.0004883,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.60899
1,8,3528,3528,1408,3904,11,16,0.0004883,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.685108
1,8,3528,3528,1408,3904,11,16,0.0006905,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.665433
1,8,3528,3528,1408,3904,11,16,0.0006905,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.533986
1,8,3528,3528,1408,3904,11,16,0.0006905,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.591145
1,8,3528,3528,1408,3904,11,16,0.0006905,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.608928
1,8,3528,3528,1408,3904,11,16,0.0006905,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.675665
1,8,3528,3528,1408,3904,11,16,0.0009766,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.686691
1,8,3528,3528,1408,3904,11,16,0.0009766,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.545331
1,8,3528,3528,1408,3904,11,16,0.0009766,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.608514
1,8,3528,3528,1408,3904,11,16,0.0009766,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.614655
1,8,3528,3528,1408,3904,11,16,0.0009766,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.678291
1,8,3528,3528,1408,3904,11,16,0.001381,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.703898
1,8,3528,3528,1408,3904,11,16,0.001381,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.584067
1,8,3528,3528,1408,3904,11,16,0.001381,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.62658
1,8,3528,3528,1408,3904,11,16,0.001381,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.629436
1,8,3528,3528,1408,3904,11,16,0.001381,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.696697
1,8,3528,3528,1408,3904,11,16,0.001953,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.73149
1,8,3528,3528,1408,3904,11,16,0.001953,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.628143
1,8,3528,3528,1408,3904,11,16,0.001953,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.670081
1,8,3528,3528,1408,3904,11,16,0.001953,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.672147
1,8,3528,3528,1408,3904,11,16,0.001953,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.729777
1,8,3528,3528,1408,3904,11,16,0.002762,32,30517,1,2155174912,590436352,4096266240,45056,2000000000,2.760523
1,8,3528,3528,1408,3904,11,16,0.002762,64,15258,1,2155174912,590436352,4096266240,45056,2000000000,2.643021
1,8,3528,3528,1408,3904,11,16,0.002762,128,7629,1,2155174912,590436352,4096266240,45056,2000000000,2.735744
1,8,3528,3528,1408,3904,11,16,0.002762,256,3814,1,2155174912,590436352,4096266240,45056,2000000000,2.731581
1,8,3528,3528,1408,3904,11,16,0.002762,512,1907,1,2155174912,590436352,4096266240,45056,2000000000,2.817949
1,8,3528,3528,1408,3904,11,16,0.0001726,32,61035,1,2155174912,590436352,4096266240,45056,4000000000,2.427314
1,8,3528,3528,1408,3904,11,16,0.0001726,64,30517,1,2155174912,590436352,4096266240,45056,4000000000,2.481859
1,8,3528,3528,1408,3904,11,16,0.0001726,128,15258,1,2155174912,590436352,4096266240,45056,4000000000,2.528912
1,8,3528,3528,1408,3904,11,16,0.0001726,256,7629,1,2155174912,590436352,4096266240,45056,4000000000,2.586071
1,8,3528,3528,1408,3904,11,16,0.0001726,512,3814,1,2155174912,590436352,4096266240,45056,4000000000,2.603729
1,8,3528,3528,1408,3904,11,16,0.0002441,32,61035,1,2155174912,590436352,4096266240,45056,4000000000,2.423343
1,8,3528,3528,1408,3904,11,16,0.0002441,64,30517,1,2155174912,590436352,4096266240,45056,4000000000,2.467362
1,8,3528,3528,1408,3904,11,16,0.0002441,128,15258,1,2155174912,590436352,4096266240,45056,4000000000,2.507315
1,8,3528,3528,1408,3904,11,16,0.0002441,256,7629,1,2155174912,590436352,4096266240,45056,4000000000,2.554355
1,8,3528,3528,1408,3904,11,16,0.0002441,512,3814,1,2155174912,590436352,4096266240,45056,4000000000,2.552318
1,8,3528,3528,1408,3904,11,16,0.0003453,32,61035,1,2155174912,590436352,4096266240,45056,4000000000,2.419566
1,8,3528,3528,1408,3904,11,16,0.0003453,64,30517,1,2155174912,590436352,4096266240,45056,4000000000,2.462849
1,8,3528,3528,1408,3904,11,16,0.0003453,128,15258,1,2155174912,590436352,4096266240,45056,4000000000,2.496586
1,8,3528,3528,1408,3904,11,16,0.0003453,256,7629,1,2155174912,590436352,4096266240,45056,4000000000,2.532815
1,8,3528,3528,1408,3904,11,16,0.0003453,512,3814,1,2155174912,590436352,4096266240,45056,4000000000,2.518735
1,8,3528,3528,1408,3904,11,16,0.0004883,32,61035,1,2155174912,590436352,4096266240,45056,4000000000,2.418102
1,8,3528,3528,1408,3904,11,16,0.0004883,64,30517,1,2155174912,590436352,4096266240,45056,4000000000,2.464265
1,8,3528,3528,1408,3904,11,16,0.0004883,128,15258,1,2155174912,590436352,4096266240,45056,4000000000,2.493439
1,8,3528,3528,1408,3904,11,16,0.0004883,256,7629,1,2155174912,590436352,4096266240,45056,4000000000,2.521518
1,8,3528,3528,1408,3904,11,16,0.0004883,512,3814,1,2155174912,590436352,4096266240,45056,4000000000,2.49611
1,8,3528,3528,1408,3904,11,16,0.0006905,32,61035,1,2155174912,590436352,4096266240,45056,4000000000,2.426195
1,8,3528,3528,1408,3904,11,16,0.0006905,64,30517,1,2155174912,590436352,4096266240,45056,4000000000,2.47193
1,8,3528,3528,1408,3904,11,16,0.0006905,128,15258,1,2155174912,590436352,4096266240,45056,4000000000,2.501606
1,8,3528,3528,1408,3904,11,16,0.0006905,256,7629,1,2155174912,590436352,4096266240,45056,4000000000,2.516956
1,8,3528,3528,1408,3904,11,16,0.0006905,512,3814,1,2155174912,590436352,4096266240,45056,4000000000,2.485098
1,8,3528,3528,1408,3904,11,16,0.0009766,32,61035,1,2155174912,590436352,4096266240,45056,4000000000,2.450079
1,8,3528,3528,1408,3904,11,16,0.0009766,64,30517,1,2155174912,590436352,4096266240,45056,4000000000,2.48765
1,8,3528,3528,1408,3904,11,16,0.0009766,128,15258,1,2155174912,590436352,4096266240,45056,4000000000,2.514852
1,8,3528,3528,1408,3904,11,16,0.0009766,256,7629,1,2155174912,590436352,4096266240,45056,4000000000,2.533634
1,8,3528,3528,1408,3904,11,16,0.0009766,512,3814,1,2155174912,590436352,4096266240,45056,4000000000,2.491931
1,8,3528,3528,1408,3904,11,16,0.001381,32,61035,1,2155174912,590436352,4096266240,45056,4000000000,2.468753
1,8,3528,3528,1408,3904,11,16,0.001381,64,30517,1,2155174912,590436352,4096266240,45056,4000000000,2.505505
1,8,3528,3528,1408,3904,11,16,0.001381,128,15258,1,2155174912,590436352,4096266240,45056,4000000000,2.522408
