topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,numld,N,Na,M,kvcache,D,loss
3,8,2888,8664,1408,3904,11,16,0.0002441,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.446583
3,8,2888,8664,1408,3904,11,16,0.0002441,128,15258,1,2156188672,1241270272,8001269760,45056,4000000000,2.489323
3,8,2888,8664,1408,3904,11,16,0.0002441,256,7629,1,2156188672,1241270272,8001269760,45056,4000000000,2.533977
3,8,2888,8664,1408,3904,11,16,0.0002441,512,3814,1,2156188672,1241270272,8001269760,45056,4000000000,2.539183
3,8,2888,8664,1408,3904,11,16,0.0003453,32,61035,1,2156188672,1241270272,8001269760,45056,4000000000,2.391164
3,8,2888,8664,1408,3904,11,16,0.0003453,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.433138
3,8,2888,8664,1408,3904,11,16,0.0003453,128,15258,1,2156188672,1241270272,8001269760,45056,4000000000,2.474756
3,8,2888,8664,1408,3904,11,16,0.0003453,256,7629,1,2156188672,1241270272,8001269760,45056,4000000000,2.513313
3,8,2888,8664,1408,3904,11,16,0.0003453,512,3814,1,2156188672,1241270272,8001269760,45056,4000000000,2.50167
3,8,2888,8664,1408,3904,11,16,0.0004883,32,61035,1,2156188672,1241270272,8001269760,45056,4000000000,2.389214
3,8,2888,8664,1408,3904,11,16,0.0004883,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.431726
3,8,2888,8664,1408,3904,11,16,0.0004883,128,15258,1,2156188672,1241270272,8001269760,45056,4000000000,2.466994
3,8,2888,8664,1408,3904,11,16,0.0004883,256,7629,1,2156188672,1241270272,8001269760,45056,4000000000,2.497968
3,8,2888,8664,1408,3904,11,16,0.0004883,512,3814,1,2156188672,1241270272,8001269760,45056,4000000000,2.480083
3,8,2888,8664,1408,3904,11,16,0.0006905,32,61035,1,2156188672,1241270272,8001269760,45056,4000000000,2.387936
3,8,2888,8664,1408,3904,11,16,0.0006905,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.435983
3,8,2888,8664,1408,3904,11,16,0.0006905,128,15258,1,2156188672,1241270272,8001269760,45056,4000000000,2.472461
3,8,2888,8664,1408,3904,11,16,0.0006905,256,7629,1,2156188672,1241270272,8001269760,45056,4000000000,2.497523
3,8,2888,8664,1408,3904,11,16,0.0006905,512,3814,1,2156188672,1241270272,8001269760,45056,4000000000,2.465125
3,8,2888,8664,1408,3904,11,16,0.0009766,32,61035,1,2156188672,1241270272,8001269760,45056,4000000000,2.399776
3,8,2888,8664,1408,3904,11,16,0.0009766,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.450956
3,8,2888,8664,1408,3904,11,16,0.0009766,128,15258,1,2156188672,1241270272,8001269760,45056,4000000000,2.489271
3,8,2888,8664,1408,3904,11,16,0.0009766,256,7629,1,2156188672,1241270272,8001269760,45056,4000000000,2.509039
3,8,2888,8664,1408,3904,11,16,0.0009766,512,3814,1,2156188672,1241270272,8001269760,45056,4000000000,2.477081
3,8,2888,8664,1408,3904,11,16,0.001381,32,61035,1,2156188672,1241270272,8001269760,45056,4000000000,2.422843
3,8,2888,8664,1408,3904,11,16,0.001381,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.468036
3,8,2888,8664,1408,3904,11,16,0.001381,128,15258,1,2156188672,1241270272,8001269760,45056,4000000000,2.500779
3,8,2888,8664,1408,3904,11,16,0.001381,256,7629,1,2156188672,1241270272,8001269760,45056,4000000000,2.521362
3,8,2888,8664,1408,3904,11,16,0.001381,512,3814,1,2156188672,1241270272,8001269760,45056,4000000000,2.491738
3,8,2888,8664,1408,3904,11,16,0.001953,32,61035,1,2156188672,1241270272,8001269760,45056,4000000000,2.447934
3,8,2888,8664,1408,3904,11,16,0.001953,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.490209
3,8,2888,8664,1408,3904,11,16,0.001953,128,15258,1,2156188672,1241270272,8001269760,45056,4000000000,2.537697
3,8,2888,8664,1408,3904,11,16,0.001953,256,7629,1,2156188672,1241270272,8001269760,45056,4000000000,2.559334
3,8,2888,8664,1408,3904,11,16,0.001953,512,3814,1,2156188672,1241270272,8001269760,45056,4000000000,2.517864
3,8,2888,8664,1408,3904,11,16,0.002762,64,30517,1,2156188672,1241270272,8001269760,45056,4000000000,2.520709
3,8,2888,8664,1408,3904,11,16,0.002762,128,15258,1,2156188672,1241270272,8001269760,45056,4000000000,2.553287
3,8,2888,8664,1408,3904,11,16,0.002762,256,7629,1,2156188672,1241270272,8001269760,45056,4000000000,2.59278
3,8,2888,8664,1408,3904,11,16,0.002762,512,3814,1,2156188672,1241270272,8001269760,45056,4000000000,2.566041
3,8,2888,8664,1408,3904,11,16,0.0001726,32,122070,1,2156188672,1241270272,8001269760,45056,8000000000,2.381444
3,8,2888,8664,1408,3904,11,16,0.0001726,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.368386
3,8,2888,8664,1408,3904,11,16,0.0001726,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.375886
3,8,2888,8664,1408,3904,11,16,0.0001726,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.394954
3,8,2888,8664,1408,3904,11,16,0.0001726,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.43311
3,8,2888,8664,1408,3904,11,16,0.0002441,32,122070,1,2156188672,1241270272,8001269760,45056,8000000000,2.372506
3,8,2888,8664,1408,3904,11,16,0.0002441,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.357407
3,8,2888,8664,1408,3904,11,16,0.0002441,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.359701
3,8,2888,8664,1408,3904,11,16,0.0002441,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.371097
3,8,2888,8664,1408,3904,11,16,0.0002441,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.395457
3,8,2888,8664,1408,3904,11,16,0.0003453,32,122070,1,2156188672,1241270272,8001269760,45056,8000000000,2.37433
3,8,2888,8664,1408,3904,11,16,0.0003453,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.353627
3,8,2888,8664,1408,3904,11,16,0.0003453,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.348536
3,8,2888,8664,1408,3904,11,16,0.0003453,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.355428
3,8,2888,8664,1408,3904,11,16,0.0003453,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.371806
3,8,2888,8664,1408,3904,11,16,0.0004883,32,122070,1,2156188672,1241270272,8001269760,45056,8000000000,2.375106
3,8,2888,8664,1408,3904,11,16,0.0004883,64,61035,1,2156188672,1241270272,8001269760,45056,8000000000,2.347701
3,8,2888,8664,1408,3904,11,16,0.0004883,128,30517,1,2156188672,1241270272,8001269760,45056,8000000000,2.34261
3,8,2888,8664,1408,3904,11,16,0.0004883,256,15258,1,2156188672,1241270272,8001269760,45056,8000000000,2.342111
3,8,2888,8664,1408,3904,11,16,0.0004883,512,7629,1,2156188672,1241270272,8001269760,45056,8000000000,2.354856
