N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,loss
93940416,35842752,5771362304,3252985054353948672,1241169046593601536,3252985054346870784,1241169046586523648,0.344,5771362304,16000,5504,125,43,0.002,3.461339389439672
93940416,35842752,5905580032,3328635869571317760,1270033443025846272,3328635869564239872,1270033443018768384,0.352,5905580032,16000,5632,125,44,0.002,3.455439963610843
93940416,35842752,6039797760,3404286684788686848,1298897839458091008,3404286684781608960,1298897839451013120,0.36,6039797760,16000,5760,125,45,0.002,3.453732344089076
93940416,35842752,6174015488,3479937500006055936,1327762235890335744,3479937499998978048,1327762235883257856,0.368,6174015488,16000,5888,125,46,0.002,3.448227992746979
93940416,35842752,6308233216,3555588315223425024,1356626632322580480,3555588315216347136,1356626632315502592,0.376,6308233216,16000,6016,125,47,0.002,3.4449541887734085
93940416,35842752,6442450944,3631239130440794112,1385491028754825216,3631239130433716224,1385491028747747328,0.384,6442450944,16000,6144,125,48,0.002,3.4410884426906705
93940416,35842752,6576668672,3706889945658163200,1414355425187069952,3706889945651085312,1414355425179992064,0.392,6576668672,16000,6272,125,49,0.002,3.438818013528362
93940416,35842752,6710886400,3782540760875532288,1443219821619314688,3782540760868454400,1443219821612236800,0.4,6710886400,16000,6400,125,50,0.002,3.434980361489579
93940416,35842752,6845104128,3858191576092901376,1472084218051559424,3858191576085823488,1472084218044481536,0.408,6845104128,16000,6528,125,51,0.002,3.4315991629846394
93940416,35842752,6979321856,3933842391310270464,1500948614483804160,3933842391303192576,1500948614476726272,0.416,6979321856,16000,6656,125,52,0.002,3.4296024604700506
93940416,35842752,7113539584,4009493206527639552,1529813010916048896,4009493206520561664,1529813010908971008,0.424,7113539584,16000,6784,125,53,0.002,3.4253245412837714
93940416,35842752,7247757312,4085144021745008640,1558677407348293632,4085144021737930752,1558677407341215744,0.432,7247757312,16000,6912,125,54,0.002,3.424411565763876
