IntelliValSet|zh|web-data,IntelliValSet|zh|paper,IntelliValSet|zh|book,IntelliValSet|zh,IntelliValSet|en|web-data,IntelliValSet|en|paper,IntelliValSet|en|book,IntelliValSet|en,IntelliValSet_Raw|zh|web-data,IntelliValSet_Raw|zh|paper,IntelliValSet_Raw|zh|book,IntelliValSet_Raw|zh,IntelliValSet_Raw|en|web-data,IntelliValSet_Raw|en|paper,IntelliValSet_Raw|en|book,L,IntelliValSet_Raw,IntelliValSet,data_recipe,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,seq_len,D,N,M,D/N,round(D/N),ND,C,exact_N,N_add_emb,new_D/N,new_round(D/N),new_ND
2.712210518,1.707434138,1.601027156,1.883792428,0.593217983,0.563937906,0.573169101,0.576822647,2.727726487,1.617696153,1.371464169,1.74469813,0.59914472,0.538661409,0.551882925,0.56331908,1.015603115,1.077248413,2049_sc,1024,2728,16,16,0.00506,512,86316,2.324263,2.324348521,1.904515,-1,86315,2048,90508886016,201228288,1609826304,3.518744623,449,1.82129E+19,1.46E+20,201228288,335446016,3.518744623,449,1.82129E+19
2.650811912,1.670282278,1.564415607,1.84131645,0.58963331,0.560499932,0.57010835,0.573462005,2.662954358,1.580385852,1.337122113,1.702599876,0.595554198,0.535508462,0.549003357,0.560111382,0.997506396,1.058910897,2049_sc,1024,2728,16,16,0.00563,624,100160,2.308317,2.311402991,1.18836,-1,100159,2048,1.28E+11,201228288,1609826304,3.518744623,636,2.57572E+19,2.06E+20,201228288,335446016,3.518744623,636,2.57572E+19
3.972751632,2.41151998,2.338328843,2.734101623,0.689964977,0.661580684,0.662039374,0.671226596,4.044394603,2.343616946,2.027074598,2.570211835,0.699248667,0.636925611,0.642165005,0.659524291,1.391019802,1.461080984,2049_sc,1152,3032,18,18,0.00122,56,17438,2.640337,2.692392746,0.289226,-1,17437,2048,1999929344,284207616,2214604800,3.518744623,7,5.68395E+17,4.43E+18,284207616,435202560,3.518744623,7,5.68395E+17
3.782240714,2.314593111,2.231958628,2.610550611,0.672499685,0.644255938,0.646321549,0.654393254,3.844753655,2.239781333,1.935276757,2.450559259,0.681172787,0.619192892,0.626044571,0.642216974,1.334530204,1.403386504,2049_sc,1152,3032,18,18,0.00136,72,19181,2.665192,2.633143813,0.361066,-1,19180,2048,2828353536,284207616,2214604800,3.518744623,9,8.0384E+17,6.26E+18,284207616,435202560,3.518744623,9,8.0384E+17
3.654657721,2.236987248,2.146065204,2.517016902,0.657310558,0.629108951,0.632211611,0.639579642,3.71008944,2.163260621,1.856705902,2.359509176,0.66542714,0.603919738,0.6118561,0.627149204,1.290373051,1.358431748,2049_sc,1152,3032,18,18,0.00152,88,22194,2.583795,2.571610524,0.433867,-1,22193,2048,3999891456,284207616,2214604800,3.518744623,14,1.1368E+18,8.86E+18,284207616,435202560,3.518744623,14,1.1368E+18
3.487812082,2.149944834,2.033815791,2.398231763,0.643557041,0.615349867,0.619636025,0.626218956,3.535139519,2.072926219,1.76463332,2.248686626,0.651279979,0.590150717,0.599154406,0.613611308,1.239590297,1.304705085,2049_sc,1152,3032,18,18,0.00169,104,26558,2.528073,2.515449054,0.504685,-1,26557,2048,5656641536,284207616,2214604800,3.518744623,19,1.60766E+18,1.25E+19,284207616,435202560,3.518744623,19,1.60766E+18
3.331004819,2.050095607,1.929375955,2.282787896,0.630422501,0.602809233,0.608193703,0.613847703,3.372078996,1.970965046,1.675119787,2.139152224,0.637703174,0.577374957,0.587434224,0.600921301,1.189823981,1.25286835,2049_sc,1152,3032,18,18,0.00187,128,30517,2.502239,2.469842745,0.610124,-1,30516,2048,7999848448,284207616,2214604800,3.518744623,28,2.27362E+18,1.77E+19,284207616,435202560,3.518744623,28,2.27362E+18
3.207996042,1.980851388,1.866702146,2.204568878,0.619167389,0.591906749,0.597927585,0.60304051,3.244981495,1.899118274,1.615596951,2.061019864,0.626049531,0.566390362,0.577032615,0.589908269,1.153114708,1.216249838,2049_sc,1152,3032,18,18,0.00209,152,36343,2.443211,2.426787726,0.980454,-1,36342,2048,11313430528,284207616,2214604800,3.518744623,39,3.21536E+18,2.51E+19,284207616,435202560,3.518744623,39,3.21536E+18
3.083320271,1.91440885,1.796791701,2.122828307,0.60985329,0.582652927,0.589430321,0.594020018,3.114160714,1.831692567,1.554687518,1.982364276,0.61639771,0.55697882,0.568526322,0.580719656,1.117331072,1.179385549,2049_sc,1152,3032,18,18,0.00232,192,40690,2.40457,2.390313192,0.901042,-1,40689,2048,15999959040,284207616,2214604800,3.518744623,56,4.54731E+18,3.54E+19,284207616,435202560,3.518744623,56,4.54731E+18
2.959752706,1.837366999,1.723516378,2.037008707,0.601102563,0.574248091,0.581431247,0.585635462,2.9864368,1.755814022,1.491866487,1.901374398,0.607407845,0.548698191,0.56044181,0.572267536,1.081108297,1.141351882,2049_sc,1152,3032,18,18,0.00258,232,47623,2.329459,2.358252373,1.471097,-1,47622,2048,22627401728,284207616,2214604800,3.518744623,79,6.43088E+18,5.01E+19,284207616,435202560,3.518744623,79,6.43088E+18
