step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,10.87795889782759
10000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,3.151709585411496
20000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.9960235960303883
30000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.925253727314649
40000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.884357092324714
50000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.85359218818119
60000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.82794737415739
70000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.813509587614912
80000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.794647385528592
90000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.7784949919496613
100000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.7667100595394545
110000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.7552081775859056
120000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.74248226840128
130000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.7311193295476546
140000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.7208838217310354
150000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.709071174475941
160000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.6982815419034685
170000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.688630234490704
180000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.67799801338418
190000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.6696471642033
200000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.6596665247561684
210000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.6525187014953326
220000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.644850763798501
230000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.6397590033161413
240000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.635739145814217
249000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,0,0,1,2.633384933275835
0,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,10.82444246683465
10000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,3.179774616094067
20000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,3.029734659501367
30000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.9674536239901665
40000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.92469620890432
50000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.895315596094917
60000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.8752254566973625
70000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.857615095053802
80000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.8423510766049134
90000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.8284146164403183
100000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.818213045168459
110000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.804909673705532
120000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.796059809766485
130000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.7829701893521483
140000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.773709348937717
150000,256,512,6,8,32,1.0,1,42,0.5,1621241856.0,16527360.0,44975823781888.0,130000000000,0,1,0,0,2.763078701699936
