step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,10.779961862209364
10000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.7997765008018862
20000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.6601647033965663
30000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.5945902983582974
40000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.5560744349417748
50000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.5270247034437823
60000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.5040865501898875
70000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.4839561787726026
80000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.469503391293673
90000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.455613852090963
100000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.442452374731852
110000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.429269896061708
120000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.416313464289705
130000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.4032269916128537
140000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.3917839330035555
150000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.378171099599136
160000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.3665649488413965
170000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.3551883861864686
180000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.343138158526356
190000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.3317397584426254
200000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.3212046745475523
210000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.3109510672403943
220000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.301604303429303
230000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.29477469675484
240000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.2896744275445915
249000,256,896,12,16,64,1.0,1,42,0.5,9960610464.0,132163584.0,250518093955072.0,130000000000,0,0,1,0,2.286214227930819
