step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,10.87491353558596
10000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.701375349792328
20000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.561921652420532
30000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.49536121861509
40000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.454451205740844
50000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.4262320342883044
60000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.4032120398598
70000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.383336831912392
80000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.3670646029837403
90000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.3506123628176656
100000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.3346276600349083
110000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.321632865212307
120000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.308311197525249
130000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.2957276742784205
150000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.2665268021977503
160000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.2537248062961046
170000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.2404904883242547
180000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.225699909266467
190000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.212882568144582
200000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.202018348948734
210000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.1906450815814864
220000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.1803966877145378
240000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.166801461966675
248000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,
249000,512,1536,12,12,128,1.0,1,42,0.5,58243425408.0,368123904.0,563580374089728.0,130000000000,0,0,1,0,2.1610571361569586
