step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,10.9071860338429
10000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.825306815874669
20000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.68811607124589
30000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.6278344884218345
40000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.5866908544061245
50000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.560361358295941
60000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.540177376974615
70000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.5226654313108594
80000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.50853449998977
90000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.4940750235686844
100000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.4804316964573787
110000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.468931044088785
120000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.456552123778481
130000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.4467733329975747
140000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.435956723331188
150000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.4244673339607825
160000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.4147479567249053
170000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.404267712318828
180000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.393207841564929
190000,64,896,12,16,64,1.0,1,42,0.5,2560223232.0,132163584.0,248803697360896.0,130000000000,0,0,0,1,2.383040600305016
