step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,10.868591427805852
10000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,3.188162746290785
20000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,3.038355082887797
30000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.972748807007493
40000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.9368993723411454
50000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.9116459598002447
60000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.8907276457520497
70000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.874677356907789
80000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.861463499229591
90000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.8485541851530667
100000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.839306575072752
110000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.830037225930432
120000,64,512,8,8,64,1.0,1,42,0.25,291586048.0,27279360.0,72451803316224.0,130000000000,0,0,0,1,2.8201094094529706
