step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,10.892176465704614
10000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.939017111100968
20000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.7965539307765312
30000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.731298750584299
40000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.6916823594495867
50000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.6639634323401697
60000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.643230859395288
70000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.6255470669382115
80000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.611426906781328
90000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.59654000203816
100000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.5859949585049504
110000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.574388758563813
120000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.56271788245404
130000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.54985770259232
140000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.540251004521725
150000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.5291671814529013
160000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.518365031705586
170000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.5069791242049995
180000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.495859249705293
190000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.487267155956228
200000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.477589682975619
210000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.4709732371489683
220000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.462522594853134
230000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.45704754814858
240000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.4525988114143256
249000,128,640,10,12,64,1.0,1,42,0.5,2138803600.0,57369600.0,132200854978560.0,130000000000,0,0,1,0,2.450143084342052
