step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,10.86390759442819
10000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.7327319056245347
20000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.59994937060989
30000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.535142669234171
40000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.496770667257392
50000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.469941221904476
60000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.447549151920828
70000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.43046397060328
80000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.413921036250919
90000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.399057714947189
100000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.387124297857808
110000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.373713903320391
120000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.3586828666287887
130000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.3477733003397985
140000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.335332113847369
150000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.3222647735124187
160000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.311320090277111
170000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.299507811897503
180000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.28700052291789
190000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.276561543382905
200000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.2653869277609986
210000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.257257748155819
220000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.246897314507765
230000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.24054070457382
240000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.235331297402959
249000,64,1536,12,12,128,1.0,1,42,0.5,7504995456.0,368123904.0,559251047055360.0,130000000000,0,0,1,0,2.231572751295688
