step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,10.87880131107201
10000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,3.0010771164206447
20000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.8645681028743564
30000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.8012786109664027
40000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.7634586434510533
50000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.737253507563226
60000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.7176731786797443
70000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.7035581827796724
80000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.6878368079108936
90000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.676416570398362
100000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.6645788642018835
110000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.653644165196411
120000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.64645242116098
130000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.636033901919648
140000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.626274882864819
150000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.617688740306936
160000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.608604074824868
170000,32,640,10,12,64,1.0,1,42,0.5,565376000.0,57369600.0,131609877544960.0,130000000000,0,0,0,1,2.5990402154941084
