step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,10.872165437803067
10000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.7550675622504435
20000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.625462373126506
30000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.566261743028155
40000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.531729587315877
50000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.505017739468064
60000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.4851290060861504
70000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.469760571282876
80000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.454875707650733
90000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.441132538241076
100000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.429793945169561
110000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.416057071234873
120000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.4050772218698504
130000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3942698586823257
140000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.383576748528826
150000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3728569809735007
160000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3611463154945804
170000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.350666218638698
180000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.340872082637552
190000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.330349097858437
200000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3215861901674124
210000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.313465420923326
220000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3057010345826177
230000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.300585272601936
240000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.296314874869565
249000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.293804603408685
0,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,10.8721891687927
10000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.811905569449319
20000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.6841512991499537
30000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.624802036822233
40000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.587173343542496
50000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.5607325454021788
60000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.541585596031962
70000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.526022099871415
80000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.510377549470629
90000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4989129485329182
100000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4850667399040254
110000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.474546853678997
120000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4643728742935296
130000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4538857442117044
140000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4401517720975106
150000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.429416462588353
160000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4203989816282303
170000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.408925626045639
180000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.3981993170983524
190000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.389792841494105
200000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.379481197777068
210000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.370937254574843
220000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.364349433485946
230000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.3579766422139925
240000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.354175552467275
249000,16,1536,12,12,128,1.0,1,42,0.5,2066964480.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.3509073156566886
