step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,10.84763479989046
10000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.857679131838263
20000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.732980380152256
30000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.67746432433028
40000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.644550794252861
50000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.619571136506357
60000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.601329751863854
70000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.5861499845760862
80000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.571673589066019
90000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.560150853351632
100000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.5506531948748536
110000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.540199263586816
120000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.528904394556303
130000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.520573464651695
140000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.509933275834662
150000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.4992940215021946
160000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.491889067435554
170000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.482543533209417
180000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.4743051172768293
190000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.4659754169571766
200000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.459545425393113
210000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.451568714322363
220000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.445980447435145
230000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.4411063234898336
240000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.437577365485373
249000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,0,0,1,2.4359681830629687
0,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,10.889466780155718
10000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.8735596150002283
20000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.748318222881848
30000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.6920886635021413
40000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.6601308160352044
50000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.633876422974077
60000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.617320110737405
70000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.6000444421186164
80000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.588913452170916
90000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.577268200611605
100000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.565931869976408
110000,2,1536,12,12,128,1.0,1,42,0.5,481388544.0,368123904.0,556795265286144.0,130000000000,0,1,0,0,2.555612061815269
