step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
0,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,10.900721909000485
10000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.765176324449893
20000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.635024511038329
30000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.5765405814185907
40000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.5395510755818984
50000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.5148419265255115
60000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.493831762481173
70000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.476205465416596
80000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.461955215171465
90000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.448336479759261
100000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.436372421412799
110000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.4249496263635604
120000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.4143669329390267
130000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.4014896864381305
140000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.390296135207916
150000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.379011840608017
160000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.369334957828188
170000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.358739673453713
180000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3487291305004745
190000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3379791643386523
200000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3298842655620207
210000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3219882644477217
220000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3153788026636155
230000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.307800624668504
240000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.304018962364077
249000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,0,0,1,2.3020167554066324
0,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,10.961842954065068
10000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.8666359942601005
20000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.73735519423901
30000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.6769227167492686
40000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.6376911365220965
50000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.6109988144833696
60000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.5885501344083908
70000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.5719148336342044
80000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.5584054329162056
90000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.5439294800567223
100000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.5305893194119395
110000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.516633185888064
120000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.504942144585026
130000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4943625005311807
140000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4832465115199325
150000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.472047992766499
160000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.459973320957479
170000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.448787884987968
180000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.438193338364467
190000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.427903532076232
200000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4180004548480665
210000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.4089678745846954
220000,8,1536,12,12,128,1.0,1,42,1.0,1953718272.0,368123904.0,556930556755968.0,130000000000,0,1,0,0,2.40068258687362
