IntelliValSet|zh|web-data,IntelliValSet|zh|paper,IntelliValSet|zh|book,IntelliValSet|zh,IntelliValSet|en|web-data,IntelliValSet|en|paper,IntelliValSet|en|book,IntelliValSet|en,IntelliValSet_Raw|zh|web-data,IntelliValSet_Raw|zh|paper,IntelliValSet_Raw|zh|book,IntelliValSet_Raw|zh,IntelliValSet_Raw|en|web-data,IntelliValSet_Raw|en|paper,IntelliValSet_Raw|en|book,L,IntelliValSet_Raw,IntelliValSet,data_recipe,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,seq_len,D,N,M,D/N,round(D/N),ND,C,exact_N,N_add_emb,new_D/N,new_round(D/N),new_ND
,,,,,,,,3.328860856,1.90238,1.5995513,2.0728934,0.588043967,0.535903745,0.544675232,0.556280248,1.136801668,,2049_sc,2880,7744,45,45,0.000234,104,26558,2.276661,2.26802554,5.160304,-1,26557,2048,5656641536.0,4504118400,30208204800,454.9285653,1,2.54782e+19,1.71e+20,4504118400,4881605760,454.9285653,1,2.54782e+19
,,,,,,,,3.143291222,1.797545457,1.509509681,1.957040911,0.573656774,0.522073173,0.532158995,0.542703866,1.084174502,,2049_sc,2880,7744,45,45,0.000261,128,30517,2.24562,2.215814815,3.430962,-1,30516,2048,7999848448.0,4504118400,30208204800,454.9285653,1,3.60323e+19,2.42e+20,4504118400,4881605760,454.9285653,1,3.60323e+19
,,,,,,,,2.825804789,1.621064414,1.362822054,1.763644441,0.54673435,0.49661568,0.507983034,0.517185797,0.994385173,,2049_sc,2880,7744,45,45,0.000323,192,40690,2.131121,2.112835707,2.754318,-1,40689,2048,15999959040.0,4504118400,30208204800,454.9285653,3,7.20657e+19,4.83e+20,4504118400,4881605760,454.9285653,3,7.20657e+19
,,,,,,,,2.358449641,1.350891732,1.133935691,1.469618545,0.505497947,0.457041435,0.469942638,0.477569551,0.857369685,,2049_sc,2880,7744,45,45,0.000494,448,69754,1.962905,1.953392152,3.116859,-1,69753,2048,63999574016.0,4504118400,30208204800,454.9285653,14,2.88262e+20,1.93e+21,4504118400,4881605760,454.9285653,14,2.88262e+20
,,,,,,,,3.697472717,2.123146906,1.774377068,2.303509745,0.621672425,0.567708816,0.574687391,0.588094448,1.244831126,,2049_sc,2880,7744,45,45,0.000189,72,19181,2.436232,2.404417419,3.670286,-1,19180,2048,2828353536.0,4504118400,30208204800,454.9285653,0,1.27392e+19,8.54e+19,4504118400,4881605760,454.9285653,0,1.27392e+19
,,,,,,,,2.983814562,1.708862406,1.435235906,1.859575995,0.559901156,0.509153468,0.519795661,0.529691001,1.038829665,,2049_sc,2880,7744,45,45,0.00029,160,34526,2.172819,2.164195554,4.204838,-1,34525,2048,11313479680.0,4504118400,30208204800,454.9285653,2,5.09573e+19,3.42e+20,4504118400,4881605760,454.9285653,2,5.09573e+19
,,,,,,,,3.498882804,2.00734173,1.679072115,2.179358797,0.604360139,0.551049463,0.559369928,0.571666306,1.18716194,,2049_sc,2880,7744,45,45,0.000211,88,22194,2.355821,2.332615339,4.413868,-1,22193,2048,3999891456.0,4504118400,30208204800,454.9285653,0,1.8016e+19,1.21e+20,4504118400,4881605760,454.9285653,0,1.8016e+19
,,,,,,,,2.703579749,1.551670607,1.299256992,1.685101942,0.535011489,0.485425703,0.497039198,0.505900068,0.957350584,,2049_sc,2880,7744,45,45,0.000359,224,49323,2.083897,2.067873649,3.103537,-1,49322,2048,22627024896.0,4504118400,30208204800,454.9285653,5,1.01915e+20,6.84e+20,4504118400,4881605760,454.9285653,5,1.01915e+20
,,,,,,,,3.883063603,2.223662241,1.868841984,2.420515303,0.640148904,0.584961705,0.591112927,0.605479363,1.300355219,,2049_sc,2880,7744,45,45,0.00017,56,17438,2.406365,2.46786186,2.894985,-1,17437,2048,1999929344.0,4504118400,30208204800,10.04737666,0,9.00792e+18,6.04e+19,4504118400,4881605760,10.04737666,0,9.00792e+18
,,,,,,,,2.358449641,1.350891732,1.133935691,1.469618545,0.505497947,0.457041435,0.469942638,0.477569551,0.857369685,,2049_sc,2880,7744,45,45,0.000494,448,69754,1.962905,1.953392152,3.116859,-1,69753,2048,63999574016.0,4504118400,30208204800,10.04737666,14,2.88262e+20,1.93e+21,4504118400,4881605760,10.04737666,14,2.88262e+20
,,,,,,,,2.569933682,1.480068235,1.237180835,1.604168412,0.524502743,0.475564304,0.487518422,0.495936291,0.920216453,,2049_sc,2880,7744,45,45,0.000399,288,54253,2.008897,2.025424419,3.876455,-1,54252,2048,31999721472.0,4504118400,30208204800,10.04737666,7,1.44131e+20,9.67e+20,4504118400,4881605760,10.04737666,7,1.44131e+20
,,,,,,,,2.483996221,1.420112301,1.188192232,1.543982183,0.513974534,0.465244552,0.477783658,0.485742813,0.890883544,,2049_sc,2880,7744,45,45,0.000444,320,69053,1.991217,1.988587096,2.385471,-1,69052,2048,45254574080.0,4504118400,30208204800,10.04737666,10,2.03832e+20,1.37e+21,4504118400,4881605760,10.04737666,10,2.03832e+20
,,,,,,,,2.279009521,1.302181785,1.100296922,1.421836725,0.497525885,0.448925292,0.462195253,0.46962514,0.834107817,,2049_sc,2880,7744,45,45,0.00055,512,86316,1.928905,1.916702626,1.901719,-1,86315,2048,90508886016.0,4504118400,30208204800,28.20342956,20,4.07663e+20,2.73e+21,4504118400,4881605760,28.20342956,20,4.07663e+20
