IntelliValSet|zh|web-data,IntelliValSet|zh|paper,IntelliValSet|zh|book,IntelliValSet|zh,IntelliValSet|en|web-data,IntelliValSet|en|paper,IntelliValSet|en|book,IntelliValSet|en,IntelliValSet_Raw|zh|web-data,IntelliValSet_Raw|zh|paper,IntelliValSet_Raw|zh|book,IntelliValSet_Raw|zh,IntelliValSet_Raw|en|web-data,IntelliValSet_Raw|en|paper,IntelliValSet_Raw|en|book,L,IntelliValSet_Raw,IntelliValSet,data_recipe,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,seq_len,D,N,M,D/N,round(D/N),ND,C,exact_N,N_add_emb,new_D/N,new_round(D/N),new_ND
2.69275958,1.66060061,1.528518149,1.829763843,0.55128242,0.52847627,0.53642405,0.538765998,2.707760319,1.57239972,1.319702622,1.70185387,0.556193142,0.502634414,0.515143882,0.52473767,0.975389698,1.033076269,2049_sc,1792,4832,28,29,0.00108,288,54253,2.141867,2.154560658,1.883718,-1,54252,2048,31999721472.0,1125938688,8032174080,3.518744623,28,3.60297e+19,2.57e+20,1125938688,1360819712,3.518744623,28,3.60297e+19
2.607130946,1.607372823,1.476507072,1.769682126,0.542681949,0.519814843,0.528708834,0.530441987,2.618862804,1.519019275,1.272715664,1.643627225,0.547280261,0.493938401,0.507316407,0.516260116,0.947865997,1.004934745,2049_sc,1792,4832,28,29,0.0012,336,65765,2.116022,2.123955657,2.162563,-1,65764,2048,45254737920.0,1125938688,8032174080,3.518744623,40,5.09541e+19,3.63e+20,1125938688,1360819712,3.518744623,40,5.09541e+19
2.520593586,1.558548698,1.429847346,1.713274564,0.535720554,0.512898112,0.521744158,0.523494257,2.528979953,1.467722427,1.232574223,1.589283684,0.540158235,0.487084956,0.500372841,0.509286654,0.922757178,0.979049336,2049_sc,1792,4832,28,29,0.00133,416,75120,2.095616,2.095999107,1.687646,-1,75119,2048,63999836160.0,1125938688,8032174080,3.518744623,56,7.20599e+19,5.14e+20,1125938688,1360819712,3.518744623,56,7.20599e+19
2.428769637,1.505194281,1.385342431,1.655684366,0.528640952,0.505583061,0.514956988,0.516434813,2.433164018,1.414067208,1.18904317,1.531211486,0.532882062,0.480011855,0.493587778,0.50224214,0.896177014,0.952642167,2049_sc,1792,4832,28,29,0.00148,512,86316,2.072188,2.063144021,1.700089,-1,86315,2048,90508886016.0,1125938688,8032174080,3.518744623,80,1.01907e+20,7.27e+20,1125938688,1360819712,3.518744623,80,1.01907e+20
2.361667766,1.468345551,1.34094034,1.607857274,0.523041803,0.500105947,0.509881302,0.511051388,2.365016427,1.376129841,1.151209526,1.486340933,0.527054966,0.474540359,0.488490503,0.496777093,0.875625801,0.931007483,2049_sc,1792,4832,28,29,0.00165,640,97656,2.042856,2.042130545,1.128644,-1,97655,2048,128000000000.0,1125938688,8032174080,3.518744623,113,1.4412e+20,1.03e+21,1125938688,1360819712,3.518744623,113,1.4412e+20
3.885256638,2.341903775,2.223997512,2.636787741,0.65835423,0.632335304,0.633876093,0.641552756,3.951422769,2.271824923,1.939073963,2.484979366,0.666747534,0.607513315,0.613801763,0.629430433,1.339816451,1.405508442,2049_sc,1792,4832,28,29,0.000459,56,17438,2.514898,2.570901107,0.763606,-1,17437,2048,1999929344.0,1125938688,8032174080,3.518744623,1,2.2518e+18,1.61e+19,1125938688,1360819712,3.518744623,1,2.2518e+18
3.72585994,2.254740812,2.113938356,2.52085069,0.639617012,0.61423143,0.617060927,0.623668867,3.783400749,2.179300252,1.844158822,2.373731912,0.647337461,0.588981591,0.596645668,0.611065835,1.285892197,1.35008097,2049_sc,1792,4832,28,29,0.00051,72,19181,2.538701,2.504922935,1.00801,-1,19180,2048,2828353536.0,1125938688,8032174080,3.518744623,2,3.18455e+18,2.27e+19,1125938688,1360819712,3.518744623,2,3.18455e+18
3.538614712,2.155032463,2.007112235,2.39714247,0.623967314,0.599510449,0.602959414,0.608844861,3.587264065,2.076851098,1.750463129,2.254224936,0.631211156,0.57415989,0.582444183,0.596015616,1.230851321,1.293566279,2049_sc,1792,4832,28,29,0.000568,88,22194,2.459358,2.440338334,1.403007,-1,22193,2048,3999891456.0,1125938688,8032174080,3.518744623,3,4.50363e+18,3.21e+19,1125938688,1360819712,3.518744623,3,4.50363e+18
3.378567073,2.058909757,1.912046241,2.286789285,0.609021945,0.584550508,0.589190453,0.594288835,3.42077938,1.97867357,1.665028817,2.14696272,0.615743805,0.559020954,0.568511911,0.581171117,1.180625242,1.242330471,2049_sc,1792,4832,28,29,0.000632,104,26558,2.389957,2.37866694,1.646326,-1,26557,2048,5656641536.0,1125938688,8032174080,3.518744623,5,6.36903e+18,4.54e+19,1125938688,1360819712,3.518744623,5,6.36903e+18
3.215991474,1.969524058,1.813120089,2.175445905,0.594518336,0.570584973,0.576330547,0.580513804,3.250315914,1.886205432,1.580371451,2.040569714,0.600730415,0.545064673,0.555462323,0.567165069,1.131249389,1.191197486,2049_sc,1792,4832,28,29,0.000703,128,30517,2.358789,2.325636106,1.650777,-1,30516,2048,7999848448.0,1125938688,8032174080,3.518744623,7,9.00734e+18,6.43e+19,1125938688,1360819712,3.518744623,7,9.00734e+18
