step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
230000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.958970590592516
240000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.955550241738998
249000,64,512,8,8,64,1.0,1,S-Base,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,2.9539059431928383
0,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,10.92882414464668
10000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.4365184675370477
20000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.300473785394276
30000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.2413858692385373
40000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.206064513155891
50000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.1819132544701176
60000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.1639310487845926
70000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.149336269665713
80000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.1368323375249454
90000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.124872217947793
100000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.114612411138628
110000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.104357362971156
120000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.097709816025903
130000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.08702906979074
140000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.078281383993332
150000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.070784144005514
160000,64,512,8,8,64,1.0,1,Hash,42,0.5,555892736.0,27279360.0,72520522792960.0,130000000000,3.064192348304521
